book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
XZv0DwAAQBAJ,c programming,Bite-Size Python,An Introduction to Python Programming,April Speight,"Introduce children to the popular Python programming language through relatable examples and fun projects! Python has now surpassed Java as the most commonly used programming language. As the language rises in popularity, this complete guide can teach basic Python concepts to kids with its simple, friendly format. Bite-Size Python: An Introduction to Python Programming provides children with a foundation in the Python language. This unique book shares knowledge through easy-to-understand examples, fast exercises, and fun projects! As children learn, their parents, caregivers, and instructors can also join in their discoveries. Bite-Size Python is ideal for those who are new to programming, giving kids ages 9 and up a beginners’ approach to learning one of the most important programming languages. Gives an overview of Python Provides exciting programming projects Offers instruction on how to download and install Python Presents key programming language concepts Simplifies technical definitions With this playful guide to learning Python, readers can try out activities on their computers for a hands-on learning experience. The artwork in Bite-Size Python represents children of various backgrounds, so any child who picks up this book will be empowered to learn and young readers will love showing their projects to friends and family!",ISBN_13,False,True,236,Computers,en,http://books.google.com/books/content?id=XZv0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2711.64,INR,0.0,INR,https://play.google.com/store/books/details?id=XZv0DwAAQBAJ&rdid=book-XZv0DwAAQBAJ&rdot=1&source=gbs_api,2020-07-31,John Wiley & Sons
zCIczAEACAAJ,c programming,Python for Everybody : Exploring Data Using Python 3,N/A,N/A,N/A,OTHER,False,False,0,N/A,en,N/A,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2009,N/A
nOPuDwAAQBAJ,c programming,Introduction to Scientific Programming with Python,N/A,Joakim Sundnes,"This open access book offers an initial introduction to programming for scientific and computational applications using the Python programming language. The presentation style is compact and example-based, making it suitable for students and researchers with little or no prior experience in programming. The book uses relevant examples from mathematics and the natural sciences to present programming as a practical toolbox that can quickly enable readers to write their own programs for data processing and mathematical modeling. These tools include file reading, plotting, simple text analysis, and using NumPy for numerical computations, which are fundamental building blocks of all programs in data science and computational science. At the same time, readers are introduced to the fundamental concepts of programming, including variables, functions, loops, classes, and object-oriented programming. Accordingly, the book provides a sound basis for further computer science and programming studies.",ISBN_13,False,True,157,Mathematics,en,http://books.google.com/books/content?id=nOPuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,0.0,INR,0.0,INR,https://play.google.com/store/books/details?id=nOPuDwAAQBAJ&rdid=book-nOPuDwAAQBAJ&rdot=1&source=gbs_api,2020-07-01,Springer Nature
bMxFvgAACAAJ,c programming,Murachs Python Programming,N/A,"Joel Murach, Michael Urban","This book is for anyone who wants to learn Python. If Python is your first programming language, it helps you master all the skills and concepts you need to program in any modern language, as you learn Python itself. If you're an experienced programmer who wants to add Python to your resume, it will help you learn Python faster and better.",ISBN_10,False,False,0,Computers,en,http://books.google.com/books/content?id=bMxFvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016,"Mike Murach and Associates, Incorporated"
oQNoBgAAQBAJ,c programming,Python Programming for Biology,N/A,"Tim J. Stevens, Wayne Boucher","This book introduces Python as a powerful tool for the investigation of problems in computational biology, for novices and experienced programmers alike.",ISBN_13,False,True,721,Computers,en,http://books.google.com/books/content?id=oQNoBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015-02-12,Cambridge University Press
iIpGEAAAQBAJ,c programming,The Big Book of Small Python Projects,81 Easy Practice Programs,Al Sweigart,"Best-selling author Al Sweigart shows you how to easily build over 80 fun programs with minimal code and maximum creativity. If you’ve mastered basic Python syntax and you’re ready to start writing programs, you’ll find The Big Book of Small Python Projects both enlightening and fun. This collection of 81 Python projects will have you making digital art, games, animations, counting pro- grams, and more right away. Once you see how the code works, you’ll practice re-creating the programs and experiment by adding your own custom touches. These simple, text-based programs are 256 lines of code or less. And whether it’s a vintage screensaver, a snail-racing game, a clickbait headline generator, or animated strands of DNA, each project is designed to be self-contained so you can easily share it online. You’ll create: • Hangman, Blackjack, and other games to play against your friends or the computer • Simulations of a forest fire, a million dice rolls, and a Japanese abacus • Animations like a virtual fish tank, a rotating cube, and a bouncing DVD logo screensaver • A first-person 3D maze game • Encryption programs that use ciphers like ROT13 and Vigenère to conceal text If you’re tired of standard step-by-step tutorials, you’ll love the learn-by-doing approach of The Big Book of Small Python Projects. It’s proof that good things come in small programs!",ISBN_13,False,False,433,Computers,en,http://books.google.com/books/content?id=iIpGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021-06-25,No Starch Press
qHL5ah1GLoUC,c programming,Introduction to Programming Concepts with Case Studies in Python,N/A,"Göktürk Üçoluk, Sinan Kalkan",The current text provides a clear introduction to Computer Science concepts in a programming environment. It is designed as suitable use in freshman- or introductory level coursework in CS and provides the fundamental concepts as well as abstract theorems for solving computational problems. The Python language serves as a medium for illustrating and demonstrating the concepts.,ISBN_13,True,True,227,Computers,en,http://books.google.com/books/content?id=qHL5ah1GLoUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,3363.0,INR,0.0,INR,https://play.google.com/store/books/details?id=qHL5ah1GLoUC&rdid=book-qHL5ah1GLoUC&rdot=1&source=gbs_api,2012-10-29,Springer Science & Business Media
INlCDwAAQBAJ,c programming,Programming for Computations - Python,A Gentle Introduction to Numerical Simulations with Python,"Svein Linge, Hans Petter Langtangen","This book presents computer programming as a key method for solving mathematical problems. There are two versions of the book, one for MATLAB and one for Python. The book was inspired by the Springer book TCSE 6: A Primer on Scientific Programming with Python (by Langtangen), but the style is more accessible and concise, in keeping with the needs of engineering students. The book outlines the shortest possible path from no previous experience with programming to a set of skills that allows the students to write simple programs for solving common mathematical problems with numerical methods in engineering and science courses. The emphasis is on generic algorithms, clean design of programs, use of functions, and automatic tests for verification.",ISBN_13,True,True,244,Computers,en,http://books.google.com/books/content?id=INlCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,0.0,INR,0.0,INR,https://play.google.com/store/books/details?id=INlCDwAAQBAJ&rdid=book-INlCDwAAQBAJ&rdot=1&source=gbs_api,2016-07-25,Springer
vEpGDwAAQBAJ,c programming,Beginning Programming with Python For Dummies,N/A,John Paul Mueller,"The easy way to learn programming fundamentals with Python Python is a remarkably powerful and dynamic programming language that's used in a wide variety of application domains. Some of its key distinguishing features include a very clear, readable syntax, strong introspection capabilities, intuitive object orientation, and natural expression of procedural code. Plus, Python features full modularity, supporting hierarchical packages, exception-based error handling, and modules easily written in C, C++, Java, R, or .NET languages, such as C#. In addition, Python supports a number of coding styles that include: functional, imperative, object-oriented, and procedural. Due to its ease of use and flexibility, Python is constantly growing in popularity—and now you can wear your programming hat with pride and join the ranks of the pros with the help of this guide. Inside, expert author John Paul Mueller gives a complete step-by-step overview of all there is to know about Python. From performing common and advanced tasks, to collecting data, to interacting with package—this book covers it all! Use Python to create and run your first application Find out how to troubleshoot and fix errors Learn to work with Anaconda and use Magic Functions Benefit from completely updated and revised information since the last edition If you've never used Python or are new to programming in general, Beginning Programming with Python For Dummies is a helpful resource that will set you up for success.",ISBN_13,False,True,422,Computers,en,http://books.google.com/books/content?id=vEpGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2018-02-13,John Wiley & Sons
wa8KzgEACAAJ,c programming,Python Programming,"Learn Python in a Week and Master It. An Hands-On Introduction to Computer Programming and Algorithms, a Project-Based Guide with Practical Exercises",Computer Programming Academy,Inside this book you will find all the basic notions to start with Python and all the programming concepts to develop programs and applications. With our proven strategies you will write efficient Python codes in less than a week!,ISBN_10,False,False,254,N/A,en,http://books.google.com/books/content?id=wa8KzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020-11-10,N/A
RsFSzQEACAAJ,c programming,Python Programming,"3 Books in 1 - Ultimate Beginner's, Intermediate & Advanced Guide to Learn Python Step by Step",Ryan Turner,"If you're looking for a way to become an expert coder and impress your friends with the programs you can make from scratch, then pay attention. Here's the deal. You've decided that one of the most in-demand skills is the best place to start when making money. However, learning how to code can be a very long and arduous process. But, not learning it and hiring a programmer can be very expensive. You may want to build an app or code a website, but the costs have always been too high, making it pointless and not very cost-effective. Sound familiar? If it does, then the information inside this book is your answer. You will be given all the tips, tricks, and practice codes you need to learn Python, the solid programming language used in hundreds of industries around the world. This information allows you to become skilled much faster and perfect your coding skills in no time. Imagine cutting months off your learning curve and getting a strong base of knowledge in no time at all. Imagine getting your project done yourself for a fraction of the cost. This all is possible with the help of this three-books bundle, featuring beginner, intermediate, and expert guides! This guidebook goes more in-depth about the Python language. This is detailed, scientific information compiled together by experts in an easy-to-listen-to fashion. In this Python guide, you will discover: Book one: The benefits of Python How to get up and running with Python Full instructions of how to code How to make predictions with algorithms Real-world examples of Python The three different examples of coding Book two: The importance of machine learning The basics of working with Python How to set up your Python environment Data preprocessing with machine learning Working with linear regression in machine learning Book three: The best benefits of Python and why programmers around the world choose it How to download the Python language on your computer, regardless of the operating system you prefer How to write your first program in Python What is means to work with an object-oriented programming language How to write conditional statements, loops, functions, variables, classes, exceptions, and more If you want to learn more about how to get the best Python training, and if you are ready to write your own codes and turn your ideas into reality, then simply click the ""Buy Now"" button on this page to get started.",ISBN_10,False,False,274,Computers,en,http://books.google.com/books/content?id=RsFSzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020-02-09,Nelly B.L. International Consulting Limited
PuXctgEACAAJ,c programming,Programming with Python,N/A,T R Padmanabhan,"Based on the latest version of the language, this book offers a self-contained, concise and coherent introduction to programming with Python. The book’s primary focus is on realistic case study applications of Python. Each practical example is accompanied by a brief explanation of the problem-terminology and concepts, followed by necessary program development in Python using its constructs, and simulated testing. Given the open and participatory nature of development, Python has a variety of incorporated data structures, which has made it difficult to present it in a coherent manner. Further, some advanced concepts (super, yield, generator, decorator, etc.) are not easy to explain. The book specially addresses these challenges; starting with a minimal subset of the core, it offers users a step-by-step guide to achieving proficiency.",ISBN_10,False,False,344,Computers,en,http://books.google.com/books/content?id=PuXctgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2018-04-30,Springer
VCX0KrcGQpcC,c programming,Core Python Programming,N/A,Chun,"This is the eBook version of the printed book. If the print book includes a CD-ROM, this content is not included within the eBook version. The Complete Developer's Guide to Python New to Python? The definitive guide.",ISBN_10,False,True,1120,N/A,en,http://books.google.com/books/content?id=VCX0KrcGQpcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2006,Pearson Education India
9dW8DwAAQBAJ,c programming,Introducing Python,Modern Computing in Simple Packages,Bill Lubanovic,"Easy to understand and fun to read, this updated edition of Introducing Python is ideal for beginning programmers as well as those new to the language. Author Bill Lubanovic takes you from the basics to more involved and varied topics, mixing tutorials with cookbook-style code recipes to explain concepts in Python 3. End-of-chapter exercises help you practice what you’ve learned. You’ll gain a strong foundation in the language, including best practices for testing, debugging, code reuse, and other development tips. This book also shows you how to use Python for applications in business, science, and the arts, using various Python tools and open source packages.",ISBN_13,False,True,630,Computers,en,http://books.google.com/books/content?id=9dW8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2019-11-06,O'Reilly Media
czgzEAAAQBAJ,c programming,Get Programming,Learn to code with Python,Ana Bell,"Get Programming: Learn to code with Python teaches you the basics of computer programming using the Python language. In this exercise-driven book, you'll be doing something on nearly every page as you work through 38 compact lessons and 7 engaging capstone projects. By exploring the crystal-clear illustrations, exercises that check your understanding as you go, and tips for what to try next, you'll start thinking like a programmer in no time. This book works perfectly alongside our video course Get Programming with Python in Motion, available exclusively at Manning.com: www.manning.com/livevideo/get-programming-with-python-in-motion Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. What's Inside Programming skills you can use in any language Learn to code—no experience required Learn Python, the language for beginners Dozens of exercises and examples help you learn by doing About the Reader No prior programming experience needed. Table of Contents LEARNING HOW TO PROGRAM Lesson 1 - Why should you learn how to program? Lesson 2 - Basic principles of learning a programming language UNIT 1 - VARIABLES, TYPES, EXPRESSIONS, AND STATEMENTS Lesson 3 - Introducing Python: a programming language Lesson 4 - Variables and expressions: giving names and values to things Lesson 5 - Object types and statements of code 46 Lesson 6 - Capstone project: your first Python program-convert hours to minutes UNIT 2 - STRINGS, TUPLES, AND INTERACTING WITH THE USER Lesson 7 - Introducing string objects: sequences of characters Lesson 8 - Advanced string operations Lesson 9 - Simple error messages Lesson 10 - Tuple objects: sequences of any kind of object Lesson 11 - Interacting with the user Lesson 12 - Capstone project: name mashup UNIT 3 - MAKING DECISIONS IN YOUR PROGRAMS Lesson 13 - Introducing decisions in programs Lesson 14 - Making more-complicated decisions Lesson 15 - Capstone project: choose your own adventure UNIT 4 - REPEATING TASKS Lesson 16 - Repeating tasks with loops Lesson 17 - Customizing loops Lesson 18 - Repeating tasks while conditions hold Lesson 19 - Capstone project: Scrabble, Art Edition UNIT 5 - ORGANIZING YOUR CODE INTO REUSABLE BLOCKS Lesson 20 - Building programs to last Lesson 21 - Achieving modularity and abstraction with functions Lesson 22 - Advanced operations with functions Lesson 23 - Capstone project: analyze your friends UNIT 6 - WORKING WITH MUTABLE DATA TYPES Lesson 24 - Mutable and immutable objects Lesson 25 - Working with lists Lesson 26 - Advanced operations with lists Lesson 27 - Dictionaries as maps between objects Lesson 28 - Aliasing and copying lists and dictionaries Lesson 29 - Capstone project: document similarity UNIT 7 - MAKING YOUR OWN OBJECT TYPES BY USING OBJECT-ORIENTED PROGRAMMING Lesson 30 - Making your own object types Lesson 31 - Creating a class for an object type Lesson 32 - Working with your own object types Lesson 33 - Customizing classes Lesson 34 - Capstone project: card game UNIT 8 - USING LIBRARIES TO ENHANCE YOUR PROGRAMS Lesson 35 - Useful libraries Lesson 36 - Testing and debugging your programs Lesson 37 - A library for graphical user interfaces Lesson 38 - Capstone project: game of tag Appendix A - Answers to lesson exercises Appendix B - Python cheat sheet Appendix C - Interesting Python libraries",ISBN_13,True,False,668,Computers,en,http://books.google.com/books/content?id=czgzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,1883.28,INR,0.0,INR,https://play.google.com/store/books/details?id=czgzEAAAQBAJ&rdid=book-czgzEAAAQBAJ&rdot=1&source=gbs_api,2018-03-27,Simon and Schuster
VHvADuSMb9AC,c programming,Programming the Raspberry Pi: Getting Started with Python,N/A,Simon Monk,"Program your own Raspberry Pi projects Create innovative programs and fun games on your tiny yet powerful Raspberry Pi. In this book, electronics guru Simon Monk explains the basics of Raspberry Pi application development, while providing hands-on examples and ready-to-use scripts. See how to set up hardware and software, write and debug applications, create user-friendly interfaces, and control external electronics. Do-it-yourself projects include a hangman game, an LED clock, and a software-controlled roving robot. Boot up and configure your Raspberry Pi Navigate files, folders, and menus Create Python programs using the IDLE editor Work with strings, lists, and functions Use and write your own libraries, modules, and classes Add Web features to your programs Develop interactive games with Pygame Interface with devices through the GPIO port Build a Raspberry Pi Robot and LED Clock Build professional-quality GUIs using Tkinter",ISBN_13,True,True,193,Computers,en,http://books.google.com/books/content?id=VHvADuSMb9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2012-11-23,McGraw Hill Professional
DGnCoQEACAAJ,c programming,Introduction to Programming in Python,An Interdisciplinary Approach,"Robert Sedgewick, Kevin Wayne, Robert Dondero","Introduction to Programming in Python: An Interdisciplinary Approach emphasizes interesting and important problems, not toy applications. The authors focus on Python's most useful and significant features, rather than aiming for exhaustive coverage that bores novices. All of this book's code has been crafted and tested for compatibility with both Python 2 and Python 3, making it relevant to every programmer and any course, now and for many years to come. An extensive amount of supplementary information is available at introcs.cs.princeton.edu/python. With source code, I/O libraries, solutions to selected exercises, and much more, this companion website empowers people to use their own computers to teach and learn the material.",ISBN_10,False,False,0,Computer programming,en,http://books.google.com/books/content?id=DGnCoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015,Addison-Wesley Professional
gJUfzgEACAAJ,c programming,PYTHON PROGRAMMING,3 BOOKS IN 1: The Complete Guide to Learn Everything You Need to Know about Python,Clive Campbell,"THIS BOOK INCLUDES: Python for beginners PYTHON PROGRAMMING - The Ultimate Guide from beginners to Experts PYTHON PROGRAMMING - The Ultimate Expert Guide . You Are About to Discover The Ins And Outs Of Python Programming Language From The Basics To Its Application In Advanced Computing Concepts Like Machine Learning, Computer Science, Artificial Intelligence And More! Python is now: The preferred programming language for advanced computing concepts like data analytics, machine learning, artificial intelligence, big data, computer science and more The most taught first programming language One of the most common used programming languages in the world The programming language that has been used to write code for important processes on some of the most popular websites in the world like Facebook, Dropbox, Google Maps, YouTube, Instagram and many others Do you know why? The short answer is ""because it works"". And the long answer is this: ""It is highly scalable, easy to use, with a rich powerful library that make it possible to use it for everything from writing simple code to advanced computing, a very active online community, a large collection of third party modules and packages as well as the fact that it also supports object oriented development!"" By virtue that you are reading this, it is clear you want to start learning programming with python, from the basics all the way to the advanced computing stuff. And this 3 in 1 book is about to show you the ins and outs of python to do just that. I know you have lots of questions going through your mind... Where exactly do you start as you learn python? Why should you make python your programming language of choice whether you are a complete beginner to programming or not? How do you write your first program with python? How can you start using python for advanced computing stuff like artificial intelligence, robotics, machine learning, data analytics, big data, data science and the likes? If you have these and other related questions, this 3 in 1 book is for you so keep reading. More precisely, this 3 in 1 book will teach you: An in-depth analysis of python; what it is and how to install it on different operating systems How you stand to benefit by learning Python Why python is considered the most suitable programming language for advanced computing such as in machine learning, deep learning, artificial intelligence etc. Steps to take to write your very first program on python Step by step process to perform data analysis with python Everything you need to know about variables in python The most suitable python libraries you should use for advanced computing How to leverage the power of python to handle a variety of machine learning algorithms How you can insert comments in python to keep your code clean How to work with files on python Simple projects to get you started with python Varied data types used in python Powerful tips for successful use of python and how to handle any problems in code that may arise And MUCH MORE! Even if this is your first programming language to learn, you are in safe hands, as this book will break down the seemingly complex terms and concepts using simple, straightforward language to enable you put what you learn into action. Click Buy Now to get started!",ISBN_10,False,False,604,Computers,en,http://books.google.com/books/content?id=gJUfzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020-12-23,N/A
4vzJswEACAAJ,c programming,Python Programming for Advanced,Learn the Fundamentals of Python in 7 Days,Michael Knapp,"Do you want to learn Python in an easy and faster way? Start learning Python right Now! Welcome to this training for the Kindle book Python for Advanced! You have made it to where you are able to tell what everything in python is and you know what you need to do in order to make it work for what you want it to do.It is not always going to be easy to use python, but by knowing what to do in certain situations and how to handle variables that you are going to be working with when it. Practice is always going to make perfect, and now that you are on the advanced level of the python you are not only going to be practising the things that you have learned previously, but you are also going to be putting it to work with what you will be learning in this book. As we have mentioned in previous books, you can use Python for hacking, and we are going to touch on that in this book. Not only that, but we will touch on how you can build your own website with Python.From the lessons that you have learned throughout all three books, you should be able to take python and begin to develop your own programs if that is something that you are interested in. In reality, you can do almost anything you want to with Python now that you know not only the basics but some of the harder things that not everyone is going to know or have a desire to learn.It is my hope as the author that at this point in time if you are going to the Python website, that you are not only getting some of the help that you may need but that you are also able to offer some advice to those that may be starting out with python. You should even be able to sit down with someone in your own family and teach them to use python with everything that you have learned in the first two books paired with this final book! Here's What You'll Learn From This Python For Advanced Book: Chapter 1: Building a website by using python code✓Chapter 2: Spying with Python ✓Chapter 3: Gathering data ✓Chapter 4: Sniffing out packets with Python ✓Chapter 5: Packet interception ✓Chapter 6: Attacking a computer✓Chapter 7: Testing out attackS✓Chapter 8: how to take a screenshot with Python ✓Chapter 9: Compiling data that you have collected✓Chapter 10: Running a program at start up Start Learning Python Right Now!",ISBN_10,False,False,64,N/A,en,http://books.google.com/books/content?id=4vzJswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2017-06-06,N/A
DcMdEQAAQBAJ,c programming,Modern Python Programming using ChatGPT,10x your software development skills with Python (English Edition),Shivakumar Gopalakrishnan,"DESCRIPTION Modern Python Programming using ChatGPT is your essential guide to leveraging Artificial Intelligence to streamline and enhance your Python development workflow across the entire software development lifecycle (SDLC). This book covers every stage, from requirements gathering and design to implementation, testing, security, deployment, and observability, demonstrating how ChatGPT can be of invaluable assistance throughout. Learn how to use ChatGPT to break down features into stories, design, and architect software, implement AI-generated code snippets, write clean and maintainable code, test and secure applications, deploy efficiently, and monitor performance. This comprehensive guide shows you how to integrate ChatGPT seamlessly into every stage of your Python projects. Discover how ChatGPT can automate repetitive tasks, generate high-quality code snippets, provide instant debugging tips, and ensure your code adheres to industry standards and best practices. This book provides thorough coverage of the latest trends and best practices in Python development, equipping you with the tools to write clean, maintainable, and robust code. Through practical examples and hands-on exercises, you will learn how to apply ChatGPT in real-world scenarios, making your development process more efficient and productive. KEY FEATURES ● Supercharge the entire SDLC using ChatGPT's AI-driven insights. ● Seamlessly integrate ChatGPT into every stage of your Python projects. ● Practical, real-world examples and hands-on exercises. WHAT YOU WILL LEARN ● To seamlessly integrate ChatGPT from coding to deployment to monitoring. ● Use ChatGPT to gather and document software requirements. ● Break down features into stories with ChatGPT assistance. ● Design, architect, and implement clean, maintainable code using AI-generated snippets. ● Test, secure, and deploy applications with AI support. ● Optimize performance and monitor software using ChatGPT. WHO THIS BOOK IS FOR This book is for Python developers of all experience levels who want to enhance their entire software development process using AI. Basic knowledge of Python is assumed, but detailed instructions are provided to help you integrate ChatGPT into your projects effectively. TABLE OF CONTENTS 1. ChatGPT and Its Capabilities 2. Benefits of Using ChatGPT in Python Development 3. Setting up ChatGPT for Python Development 4. Requirements Gathering 5. Design and Architecture 6. Implementing a Software Product 7. Pull Review and Commit Messages 8. Using ChatGPT for Coding with SOLID Principles 9. Software Testing with ChatGPT in Python 10. Deployment with ChatGPT 11. Performance and Observability 12. Revolutionary Impact of ChatGPT 13. Limitations, Pitfalls and Dangers of ChatGPT 14. Preparing for the Future with ChatGPT",ISBN_13,True,True,437,Computers,en,http://books.google.com/books/content?id=DcMdEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,942.82,INR,0.0,INR,https://play.google.com/store/books/details?id=DcMdEQAAQBAJ&rdid=book-DcMdEQAAQBAJ&rdot=1&source=gbs_api,2024-08-29,BPB Publications
XWh6zgEACAAJ,c programming,Machine Learning Algorithms Using Python Programming,N/A,"Gopal Sakarkar, Gaurav Patil, Prateek Dutta","""The machine learning field is concerned with the question of how to create computer programs that automatically improve information. In recent years, many successful electronic learning applications have been made, from data mining systems that learn to detect fraudulent credit card transactions, filtering programs that learn user readings, to private cars that learn to drive on public highways. At the same time, there have been significant developments in the concepts and algorithms that form the basis for this field. Machine learning is programming computers to optimize a performance criterion using example data or past experience. The goal of this textbook is to present the key concepts of Machine Learning which includes Python concepts and Interpreter, Foundation of Machine Learning, Data Pre-processing, Supervised Machine Learning, Unsupervised Machine Learning, Reinforcement Learning, Kernel Machine, Design and analysis of Machine Learning experiment and Data visualization. The theoretical concepts along with coding implementation are covered. This book aims to pursue a middle ground between a theoretical textbook and one that focuses on applications. The book concentrates on the important ideas in machine learning""--",ISBN_10,False,False,182,Computers,en,http://books.google.com/books/content?id=XWh6zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021,Nova Science Publishers
